feature,importance
has_https,0.2043720606197116
num_hyphens,0.1509983496437538
url_length,0.11186053012783408
host_length,0.0992429766120879
domain_length,0.09160985629265574
suspicious_words,0.08130018693814234
letter_ratio,0.059542022651924834
special_char_ratio,0.03611606420563402
vowel_ratio,0.02933195550304424
num_subdomains,0.028133761673764034
tld_length,0.02628727951463452
num_dots,0.022900916856318277
entropy,0.02248672953086432
consonant_ratio,0.02202241243026658
digit_ratio,0.013794897399363668
num_commas,0.0
non_std_port,0.0
path_length,0.0
num_underscores,0.0
num_slashes,0.0
num_questionmarks,0.0
path_depth,0.0
num_equals,0.0
num_ats,0.0
is_shortened,0.0
num_plus,0.0
num_ands,0.0
num_exclamations,0.0
num_spaces,0.0
has_ip,0.0
num_percent,0.0
num_dollars,0.0
num_tildes,0.0
num_asterisks,0.0
num_hashes,0.0
